bathrooms,bedrooms,breadcrumbs,description,image_url,location,price,property_id,property_name,property_type,seller_name
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","2bhk fully furnished Flat for rent at Calicut 3 Club house Mall, Hospital , Schools",https://apollo.olx.in:443/v1/files/un2xre3noooj-IN/image;s=850x0,"Thondayad, Kozhikode, Kerala","₹ 30,000",1580640068,2 Bds - 3 Ba - 1402 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam",10 rent  50 advance  Family only,https://apollo.olx.in:443/v1/files/wle7jhpk7izt-IN/image;s=850x0,"Chevarambalam, Kozhikode, Kerala","₹ 10,000",1775533662,2 Bds - 2 Ba - 900 ft2,Houses & Villas,
1,1,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba",Rate Kurav kand  onnum ella proper ayit vayich reply Tharuka…….oru that Veed athil rund room aan ullath oru room  Ath aann kodkunth  cooking evide cheyaan pattum tv fridge gas stove washing machine ellam und gas electric city bill venda pine gas use cheyam full room kittum bathroom atched ella adutha room aan,https://apollo.olx.in:443/v1/files/a88gozf6zmy11-IN/image;s=850x0,"Malaparamba, Kozhikode, Kerala","₹ 1,500",1753933066,2 Bds - 1 Ba - 500 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranjipalam",This branded villa is in eranjipalam with all modern amenities like swimming pool gymnasium badminton court garden Play area etc,https://apollo.olx.in:443/v1/files/nrokoui45c5b2-IN/image;s=850x0,"Eranjipalam, Kozhikode, Kerala","₹ 35,000",1773469421,3 Bds - 3 Ba - 2000 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Panniyankkara",Location : Panniyankara behind alaviyya madrasa.,https://apollo.olx.in:443/v1/files/m4ehch3hyi95-IN/image;s=850x0,"Panniyankkara, Kozhikode, Kerala","₹ 10,00,000",1775520099,4+ Bds - 3 Ba - 1200 ft2,Houses & Villas,
4,4,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba",4 bhk House for Rent Malaparamp,https://apollo.olx.in:443/v1/files/i1ombxqvf6nw-IN/image;s=850x0,"Malaparamba, Kozhikode, Kerala","₹ 25,000",1775508577,4 Bds - 4 Ba - 1850 ft2,Houses & Villas,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranjipalam",ചെറിയ rentil അപർട്മെന്റ് നോക്കുന്നവർക്കു വേണ്ടി,https://apollo.olx.in:443/v1/files/yvsmuf9juuxb2-IN/image;s=850x0,"Eranjipalam, Kozhikode, Kerala","₹ 13,000",1769845776,2 Bds - 2 Ba - 1200 ft2,Apartments,
1,1,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach",Tile roof House near Indus with corporation and well water connection. very close to bus stop. Ideal for staff accommodation of bachelors.,https://apollo.olx.in:443/v1/files/kyv98xd0118i-IN/image;s=850x0,"Calicut Beach, Kozhikode, Kerala","₹ 8,000",1773819270,1 Bds - 1 Ba - 550 ft2,Houses & Villas,
4,4,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad",3BHK FULLY FURNISHED FLAT FOR RENT AT THONDAYAD BYPASS  * 3Bedrooms  * 4 bathrooms * Balcony  * Fully Furnished * All electronics are available  * Modular Kitchen AMENITIES * Swimming Pool  * Gym * Indoor Games * Sky walk * Roof top party area * Kids play school  * Kids park * Covered car parking * 24/7 CCTV * 24/7 Security and caretaker * Power backup For more details please contact Planet Homes Karaparamba,https://apollo.olx.in:443/v1/files/pphdar6kezbq2-IN/image;s=850x0,"Thondayad, Kozhikode, Kerala","₹ 36,000",1775241612,3 Bds - 4 Ba - 1983 ft2,Apartments,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad",2bhk semi furnished flat for rent at Calicut,https://apollo.olx.in:443/v1/files/3xme8hn2h3oz1-IN/image;s=850x0,"Thondayad, Kozhikode, Kerala","₹ 25,000",1637175333,3 Bds - 3 Ba - 1366 ft2,Apartments,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","Flat for rent at Landmark World 3bhk semi furnished flat Thondayad. 1700 Sq ft with Luxury    amenities for the comfort residents .It is close to the Nesto supermarket,mall, Education institutions and Hospitals. Contact.",https://apollo.olx.in:443/v1/files/uwb7fkfuaahx2-IN/image;s=850x0,"Thondayad, Kozhikode, Kerala","₹ 30,000",1639833782,3 Bds - 3 Ba - 1700 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad",Near Cyber park,https://apollo.olx.in:443/v1/files/dfsawvl3uh0b-IN/image;s=850x0,"Thondayad, Kozhikode, Kerala","₹ 35,000",1635785020,2 Bds - 2 Ba - 1706 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in YMCA Cross Road","This is a newly built flat with just one year old . It's Fully furnished condition with all amenities. It's 2BHK apartment. It's having all modern amenities including gymnasium, swimming pool , home theatre,jaccuzi ,sauna , health club. It has maintenance cost of 3000. For more information please feel free to contact us at",https://apollo.olx.in:443/v1/files/q9l22xi5jysy1-IN/image;s=850x0,"YMCA Cross Road, Kozhikode, Kerala","₹ 40,000",1773392544,2 Bds - 2 Ba - 1200 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad",1bhk fully furnished flat for rent at Thondayad by Please call,https://apollo.olx.in:443/v1/files/vqbbmqjizua32-IN/image;s=850x0,"Thondayad, Kozhikode, Kerala","₹ 20,000",1639836497,1 Bds - 2 Ba - 700 ft2,Apartments,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kottuli",Well water and Cooperation water flat near by bypass @kottooly kozhikode,https://apollo.olx.in:443/v1/files/tpm8inoq4hud-IN/image;s=850x0,"Kottuli, Kozhikode, Kerala","₹ 19,000",1760472204,3 Bds - 3 Ba - 1750 ft2,Builder Floors,
1,1,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Araidathpalam","Providing studio apartment rental for men and women on a daily rent   ( business meetings, conference, purchase, weddings, hospital needs) Long term rentals for men only. Location:  flat opposite to Silk Mandir, just a few steps away from Baby Memorial Hospital in Arayidathpalam, Kozhikode. Convenience stores and a good transport network are available at the doorstep, with Gokulam Mall located next door.""",https://apollo.olx.in:443/v1/files/53t7f6f2gqpa1-IN/image;s=850x0,"Araidathpalam, Kozhikode, Kerala","₹ 16,000",1773209664,1 Bds - 1 Ba - 850 ft2,Apartments,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu",Compound wall well water new house for rent,,"Mankavu, Kozhikode, Kerala","₹ 20,000",1760466302,3 Bds - 3 Ba - 1975 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu","This is a fully furnished 3BHK apartment in nadakkave , kanakalaya bank .It's 5 th floor out of the 8 floors.Its having 1682 square feet.Its having 3 beds ,one AC ,one fridge,one TV, one geyser,one washing machine ,one sofa one water purifier, one dinning table,one sofa ,6 fans ,14 lights  The monthly rent includes monthly maintenance is rs 30000.",https://apollo.olx.in:443/v1/files/82fx12hgowf52-IN/image;s=850x0,"Nadakkavu, Kozhikode, Kerala","₹ 27,000",1772970933,3 Bds - 3 Ba - 1682 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu","2 BHK Apartment- 500 meters from Mankave  Junction, 1km from upcoming Lulu Mall",https://apollo.olx.in:443/v1/files/v07hpz8gyuya3-IN/image;s=850x0,"Mankavu, Kozhikode, Kerala","₹ 13,500",1775523148,2 Bds - 2 Ba - 850 ft2,Apartments,
4,4,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam",Good convenient location.four car parking.walkable distance to chevarambalam town Rent 30000/- per month.,https://apollo.olx.in:443/v1/files/csvhsk1nd5zj2-IN/image;s=850x0,"Chevarambalam, Kozhikode, Kerala","₹ 30,000",1775459843,4 Bds - 4 Ba - 2800 ft2,Houses & Villas,
1,1,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Parayanchery",Single bed room AC stay with all facilities are Calicut City,https://apollo.olx.in:443/v1/files/pfi718ccqcl03-IN/image;s=850x0,"Parayanchery, Kozhikode, Kerala","₹ 12,000",1760882293,1 Bds - 1 Ba - 550 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba",Furnished including ac good society well and co operation water near by malaparamb by pass,,"Malaparamba, Kozhikode, Kerala","₹ 21,000",1766580992,3 Bds - 3 Ba - 1950 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba","Branded flat for rent & sale available in Calicut 3 BHK LUXURY FURNISHED FLAT FOR RENT NEAR KARAPARAMBE located in a prime location  * Very close karaparambe,  Civil station, Thondayad, malaparamb , Star care hospital, Eranjipalam, sarovaram road, baby memorial hospital ,  Arayidathpalam   Amenities  : Swimming pool GYM Cctv  Party area Children play area  Lift  24 Hr Security 24 Hr power backup Covered parking    Expecting rent : 30,000 + mnc  Note : images shown are for representation purpose only . actual building differ . Call  between : 10 am - 7 pm (Sunday off)",https://apollo.olx.in:443/v1/files/j4earm9d742j-IN/image;s=850x0,"Karaparamba, Kozhikode, Kerala","₹ 30,000",1774562100,3 Bds - 3 Ba - 1300 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Hill","2 BHK, 1 attached (European) and 1 common(Indian) bath at West Hill, Kozhikode. Only two Wheeler parking available.",https://apollo.olx.in:443/v1/files/cpwp63kvxmgk1-IN/image;s=850x0,"West Hill, Kozhikode, Kerala","₹ 10,000",1775400980,2 Bds - 2 Ba - 650 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranhipalam",Branded flat. Not used. Fully furnished. 2 bed room. 2 bath room. Hall. Kitchen. Balcony. All feciltees. Maintainece charge including.,https://apollo.olx.in:443/v1/files/r7trb7xb3j8b1-IN/image;s=850x0,"Eranhipalam, Kozhikode, Kerala","₹ 38,000",1775403388,2 Bds - 2 Ba - 1200 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Christian College","Branded flat for rent & sale available in Calicut 2 BHK PREMIUM UNFURNISHED FLAT FOR RENT NEAR CHRISTIAN COLLEGE  located in a prime location  * Very close  Christian College, ymca cross road, Ashokapuram ,  beach Road, Nadakkavu ,  westhill, puthiyangadi, Meitra hospital, karaparamb, Eranjipalam   Amenities  : Swimming pool GYM Party area Children play area Cctv  Lift  24 Hr Security Basket ball court  Jogging track  Theater home  24 Hr power backup Covered parking    Expecting rent :  28000 + mnc  Note : images shown are for representation purpose only . actual building differ . Call  between : 10 am - 7 pm (Sunday off)",https://apollo.olx.in:443/v1/files/j3122pp468bn3-IN/image;s=850x0,"Christian College, Kozhikode, Kerala","₹ 28,000",1774565595,2 Bds - 2 Ba - 1250 ft2,Apartments,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam",Compound wall well water new house for rent,https://apollo.olx.in:443/v1/files/6k2umeey61zd1-IN/image;s=850x0,"Chevarambalam, Kozhikode, Kerala","₹ 25,000",1760492071,3 Bds - 3 Ba - 2100 ft2,Houses & Villas,
4,4,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba",Doctor area Family only  Deposit 1 lakh,https://apollo.olx.in:443/v1/files/2ddxhel4yare3-IN/image;s=850x0,"Malaparamba, Kozhikode, Kerala","₹ 25,000",1775414711,4 Bds - 4 Ba - 1800 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thadambattuthazham","Welcome to this charming 3-bedroom, fully furnished house nestled in a serene neighborhood. This spacious home boasts a cozy living room perfect for relaxation, a well-equipped kitchen for culinary adventures, and a dining area for enjoying meals with family and friends. Each of the three bedrooms offers comfortable sleeping arrangements and ample storage space. The house also features modern amenities including air conditioning, high-speed internet, and smart home technology for convenience. Outside, you'll find a lush garden area ideal for outdoor gatherings and a private parking space for your convenience. Whether you're seeking a peaceful retreat or a place to entertain, this furnished 3BHK house is sure to exceed your expectations.",https://apollo.olx.in:443/v1/files/2l5c6h1jvsdt1-IN/image;s=850x0,"Thadambattuthazham, Kozhikode, Kerala","₹ 25,500",1762674925,3 Bds - 3 Ba - 2000 ft2,Houses & Villas,
4+,4+,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Krishnan Nair Road",5BHK WITH 4 BATH ATTACHED,https://apollo.olx.in:443/v1/files/gqrlaicneiju3-IN/image;s=850x0,"Krishnan Nair Road, Kozhikode, Kerala","₹ 17,000",1774579384,4+ Bds - 4+ Ba - 1200 ft2,Houses & Villas,
4,4,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranhipalam","3 bedroom house for rent in jawahar nagar, Eranhipalam calicut.",,"Eranhipalam, Kozhikode, Kerala","₹ 23,000",1775076036,3 Bds - 4 Ba - 2200 ft2,Houses & Villas,
3,3,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu","Branded flat for rent & sale available in Calicut 3 BHK BRANDED UNFURNISHED APARTMENT FOR RENT NEAR MANKAVU  located in a prime location  * Very close Mankavu , Puthiyrara, govindapuram, Chalapuram ,  Mims hospital , mavoor road, baby memorial hospital, manachira, nadakkavu   Amenities  : Party area Cctv Children play area  Lift  24 Hr Security 24 Hr power backup Covered parking    Expecting rent : 20,000 + mnc  Note : images shown are for representation purpose only . actual building differ . Call  between : 10 am - 7 pm (Sunday off)",,"Mankavu, Kozhikode, Kerala","₹ 20,000",1774564193,3 Bds - 3 Ba - 1280 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Civil Station",2 bedroom flat with 2 bathroom available for rent in prime location at civil station.  Spacious with balcony.,https://apollo.olx.in:443/v1/files/gmwpn7fi2ocx2-IN/image;s=850x0,"Calicut Civil Station, Kozhikode, Kerala","₹ 13,500",1775414517,2 Bds - 2 Ba - 900 ft2,Apartments,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba","2 BHK FURNISHED FLAT FOR RENT NEAR KARAPPARAMB, CALICUT  AMINITES :- GYM SWAMING POOL CHILDRENS PLAY AREA PARTY HALL OPAN AREA GUEST CAR PARKING Guest room",https://apollo.olx.in:443/v1/files/kkwzi9yh3ae21-IN/image;s=850x0,"Karaparamba, Kozhikode, Kerala","₹ 30,000",1771300423,2 Bds - 2 Ba - 1380 ft2,Builder Floors,
2,2,"Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","2 bhk Semifurnished Apartment For Rent At Thondayad  ◼️1200 sq ft ◼️Balcony  ◼️Kitchen Cabinet  ◼️2 Bhk Attached Amenities:- ◼️Lift ◼️Power Backup ◼️Coverd Parking  ◼️Gated Community ◼️well Water, etc Rent - 15000/-  mnc Note : Showing images are advertising purpose only/- More details contact  Endless Properties 2nd floor, Kairali complex Thondayad, calicut",https://apollo.olx.in:443/v1/files/sczgmy0we6a91-IN/image;s=850x0,"Thondayad, Kozhikode, Kerala","₹ 17,000",1768446491,2 Bds - 2 Ba - 1200 ft2,Apartments,
